Train Loss,no train rows,Test Loss,No test rows,Time taken (M),Date,Time,,,,,,,,,,,,,,,,,,,
11368331.62,611328,16691657.52,101472,5.76,14/01/2023,14:55:00,,,,,,,,,,,,,,,,,,,
10904224.21,611328,11174126.49,101472,5.57,14/01/2023,14:58:00,,,,,,,,,,,,,,,,,,,
10827797.77,611328,13274077.47,101472,5.54,14/01/2023,15:01:00,,,,,,,,,,,,,,,,,,,
10973138.98,611328,9866866.221,101472,5.58,14/01/2023,15:04:00,,,,,,,,,,,,,,,,,,,
11034519.66,611328,9647583.525,101472,5.56,14/01/2023,15:06:00,,,,,,,,,,,,,,,,,,,
10962493.38,611328,13961830.7,101472,5.6,14/01/2023,15:09:00,,,,,,,,,,,,,,,,,,,
11120555.89,611328,9708940.062,101472,5.59,14/01/2023,15:12:00,,,,,,,,,,,,,,,,,,,
11039835.84,611328,10842414.63,101472,5.59,14/01/2023,15:15:00,,,,,,,,,,,,,,,,,,,
11139852.44,611328,10150675.74,101472,5.6,14/01/2023,15:18:00,,,,,,,,,,,,,,,,,,,
10783074.04,611328,10101588.24,101472,5.58,14/01/2023,15:20:00,,,,,,,,,,,,,,,,,,,
11017159.78,611328,10013429.98,101472,5.87,14/01/2023,15:23:00,,,,,,,,,,,,,,,,,,,
13358382.33,611328,23738112.94,101472,5.63,14/01/2023,15:26:00,,,,,,,,,,,,,,,,,,,
11975794.73,611328,9841102.046,101472,5.62,14/01/2023,15:29:00,,,,,,,,,,,,,,,,,,,
10615660,611328,9846450.932,101472,5.66,14/01/2023,15:32:00,,,,,,,,,,,,,,,,,,,
10484869.38,611328,10117378.02,101472,5.63,14/01/2023,15:35:00,,,,,,,,,,,,,,,,,,,
10775117.75,611328,10959591.83,101472,5.65,14/01/2023,15:37:00,,,,,,,,,,,,,,,,,,,
10904664.8,611328,12268666.76,101472,5.67,14/01/2023,15:40:00,,,,,,,,,,,,,,,,,,,
10833007.64,611328,10978013.39,101472,5.64,14/01/2023,15:43:00,,,,,,,,,,,,,,,,,,,
10682820.33,611328,10442749.17,101472,5.69,14/01/2023,15:46:00,,,,,,,,,,,,,,,,,,,
10800310.67,611328,11609022.09,101472,5.7,14/01/2023,15:49:00,,,,,,,,,,,,,,,,,,,
12047723.46,611328,12870444.6,101472,6,14/01/2023,15:52:00,,,,,,,,,,,,,,,,,,,
10726058.22,611328,10084015.76,101472,5.76,14/01/2023,15:55:00,,,,,,,,,,,,,,,,,,,
12737400.99,611328,10411235.64,101472,5.87,14/01/2023,16:02:00,,,,,,,,,,,,,,,,,,,
10464719.13,611328,10255068.97,101472,5.62,14/01/2023,16:05:00,,,,,,,,,,,,,,,,,,,
10732013.58,611328,10511194.9,101472,5.64,14/01/2023,16:08:00,,,,,,,,,,,,,,,,,,,
12159094.38,611328,11057664.17,101472,6.84,14/01/2023,16:41:00,,,,,,,,,,,,,,,,,,,
