Train Loss,no train rows,Test Loss,No test rows,Time taken (M),Date,Time
8362408.431,675520,7253446.396,168896,2.23,16/01/2023,1:10:00
7163845.007,675520,7100610.969,168896,2.48,16/01/2023,1:11:00
7067885.278,675520,7028763.781,168896,2.46,16/01/2023,1:12:00
7010223.892,675520,6979027.42,168896,2.5,16/01/2023,1:13:00
6974659.544,675520,6972682.165,168896,2.49,16/01/2023,1:15:00
6943567.347,675520,6923747.993,168896,2.5,16/01/2023,1:16:00
6923669.575,675520,6892972.508,168896,2.48,16/01/2023,1:17:00
6907909.125,675520,6881023.063,168896,2.5,16/01/2023,1:18:00
6891690.665,675520,6899854.463,168896,2.5,16/01/2023,1:20:00
6878819.477,675520,6873972.819,168896,2.52,16/01/2023,1:21:00
10665820.83,675520,7192705.504,168896,2.3,16/01/2023,1:22:00
7112357.672,675520,7079264.426,168896,2.54,16/01/2023,1:23:00
7021098.071,675520,7024349.906,168896,2.54,16/01/2023,1:25:00
6934263.56,675520,6882128.078,168896,2.52,16/01/2023,1:26:00
6840962.318,675520,6793879.29,168896,2.54,16/01/2023,1:27:00
6790376.859,675520,6753323.916,168896,2.54,16/01/2023,1:28:00
6759738.892,675520,6717929.269,168896,2.56,16/01/2023,1:30:00
6731770.477,675520,6698976.23,168896,2.54,16/01/2023,1:31:00
6707054.413,675520,6694039.552,168896,2.54,16/01/2023,1:32:00
6687485.727,675520,6722496,168896,2.54,16/01/2023,1:33:00
7727080.235,675520,7085835.539,168896,2.36,16/01/2023,1:35:00
7023953.508,675520,6924902.588,168896,2.56,16/01/2023,1:36:00
6853969.671,675520,6792742.933,168896,2.58,16/01/2023,1:37:00
6719144.044,675520,6633647.131,168896,2.55,16/01/2023,1:39:00
6612208.539,675520,6681412.278,168896,2.58,16/01/2023,1:40:00
6559518.99,675520,6524847.728,168896,2.56,16/01/2023,1:41:00
6515484.965,675520,6493902.57,168896,2.56,16/01/2023,1:42:00
6457541.842,675520,6430749.859,168896,2.58,16/01/2023,1:44:00
6402918.125,675520,6372927.052,168896,2.58,16/01/2023,1:45:00
6330551.609,675520,6258799.975,168896,2.6,16/01/2023,1:46:00
7628817.692,675520,6980642.07,168896,2.41,16/01/2023,1:48:00
6854587.551,675520,6713622.963,168896,2.6,16/01/2023,1:49:00
6643660.889,675520,6543920.397,168896,2.62,16/01/2023,1:50:00
6533377.401,675520,6452810.476,168896,2.62,16/01/2023,1:52:00
6437858.991,675520,6362066.863,168896,2.64,16/01/2023,1:53:00
6351284.043,675520,6306763.318,168896,2.63,16/01/2023,1:54:00
6266148.081,675520,6206908.956,168896,2.62,16/01/2023,1:56:00
6181050.06,675520,6106268.388,168896,2.59,16/01/2023,1:57:00
6097731.019,675520,6042940.448,168896,2.58,16/01/2023,1:58:00
6016009.072,675520,5962362.258,168896,2.57,16/01/2023,1:59:00
13386600.5,675520,7806661.896,168896,2.55,16/01/2023,2:01:00
12528642.24,675520,7277358.38,168896,2.74,16/01/2023,2:02:00
11727666.95,675520,7150675.923,168896,2.79,16/01/2023,2:04:00
10851194.09,675520,7016362.912,168896,2.74,16/01/2023,2:05:00
10538288.95,675520,7078031.223,168896,2.77,16/01/2023,2:06:00
10328384.98,675520,6728272.547,168896,2.76,16/01/2023,2:08:00
10155140.2,675520,6983421.037,168896,2.74,16/01/2023,2:09:00
9988969.604,675520,6458062.84,168896,2.76,16/01/2023,2:10:00
9814044.527,675520,6375368.66,168896,2.74,16/01/2023,2:12:00
9720023.773,675520,6557972.734,168896,2.76,16/01/2023,2:13:00
10757240.89,675520,7079073.354,168896,2.54,16/01/2023,2:15:00
9847496.76,675520,7169660.875,168896,2.75,16/01/2023,2:16:00
9373273.811,675520,6686889.409,168896,2.76,16/01/2023,2:17:00
9067898.525,675520,6534242.884,168896,2.77,16/01/2023,2:19:00
8839194.999,675520,6646419.532,168896,2.76,16/01/2023,2:20:00
8732180.226,675520,6332843.54,168896,2.78,16/01/2023,2:21:00
8638957.698,675520,6366578.501,168896,2.76,16/01/2023,2:23:00
8569876.238,675520,6247400.31,168896,2.79,16/01/2023,2:24:00
8502593.045,675520,6374970.517,168896,2.78,16/01/2023,2:26:00
8427913.26,675520,6461624.953,168896,2.8,16/01/2023,2:27:00
9318317.404,675520,7055182.508,168896,2.55,16/01/2023,2:28:00
8417056.909,675520,6930136.328,168896,2.8,16/01/2023,2:30:00
8198384.674,675520,6573050.269,168896,2.79,16/01/2023,2:31:00
7995541.62,675520,6503542.634,168896,2.81,16/01/2023,2:33:00
7868550.45,675520,6176369.67,168896,2.8,16/01/2023,2:34:00
7771195.085,675520,6100740.642,168896,2.81,16/01/2023,2:35:00
7704808.765,675520,6156104.696,168896,2.82,16/01/2023,2:37:00
7664413.363,675520,6040047.785,168896,2.8,16/01/2023,2:38:00
7598541.925,675520,6156701.262,168896,2.8,16/01/2023,2:40:00
7544856.939,675520,5980355.495,168896,2.8,16/01/2023,2:41:00
10745253.32,675520,7084445.879,168896,2.59,16/01/2023,2:42:00
9802959.913,675520,6667227.061,168896,2.81,16/01/2023,2:44:00
9312615.814,675520,6547008.267,168896,2.79,16/01/2023,2:45:00
9127718.162,675520,6661098.21,168896,2.8,16/01/2023,2:47:00
8957221.121,675520,6511043.099,168896,2.82,16/01/2023,2:48:00
8727215.339,675520,6173209.438,168896,2.81,16/01/2023,2:49:00
8604207.685,675520,6178464.378,168896,2.84,16/01/2023,2:51:00
8469137.36,675520,6159947.284,168896,2.82,16/01/2023,2:52:00
8284099.537,675520,6099387.692,168896,2.8,16/01/2023,2:54:00
8196883.172,675520,6061419.375,168896,2.78,16/01/2023,2:55:00
11277453.86,675520,7207282.779,168896,2.57,16/01/2023,2:56:00
10468741.93,675520,6976719.349,168896,2.8,16/01/2023,2:58:00
10048101,675520,7043303.827,168896,2.8,16/01/2023,2:59:00
9510611.313,675520,6324478.545,168896,2.8,16/01/2023,3:01:00
9263440.343,675520,6714888.349,168896,2.79,16/01/2023,3:02:00
9079083.8,675520,6227467.515,168896,2.8,16/01/2023,3:03:00
8970093.175,675520,6332953.48,168896,2.81,16/01/2023,3:05:00
8797968.63,675520,6216102.538,168896,2.8,16/01/2023,3:06:00
8607187.267,675520,6267147.612,168896,2.81,16/01/2023,3:08:00
8332806.599,675520,6133862.448,168896,2.8,16/01/2023,3:09:00
9185885.945,675520,6705434.769,168896,2.59,16/01/2023,3:10:00
8375260.083,675520,6386317.388,168896,2.8,16/01/2023,3:12:00
7892112.884,675520,6248318.66,168896,2.77,16/01/2023,3:13:00
7665556.637,675520,6330272.369,168896,2.81,16/01/2023,3:15:00
7545258.743,675520,6090262.752,168896,2.83,16/01/2023,3:16:00
7443526.556,675520,5987235.518,168896,2.84,16/01/2023,3:17:00
7383573.981,675520,6107169.607,168896,2.8,16/01/2023,3:19:00
7320329.594,675520,5979177.824,168896,2.79,16/01/2023,3:20:00
7256774.068,675520,5846208.625,168896,2.8,16/01/2023,3:22:00
7206271.696,675520,5930548.551,168896,2.83,16/01/2023,3:23:00
8134984.648,675520,6640736.684,168896,2.64,16/01/2023,3:25:00
7441166.636,675520,6377244.163,168896,2.9,16/01/2023,3:26:00
7169320.836,675520,6247846.16,168896,2.85,16/01/2023,3:27:00
7038564.146,675520,6054064.394,168896,2.88,16/01/2023,3:29:00
6907480.881,675520,5983621.962,168896,2.88,16/01/2023,3:30:00
6804902.406,675520,5929949.309,168896,2.83,16/01/2023,3:32:00
6730001.559,675520,5868908.412,168896,2.87,16/01/2023,3:33:00
6675214.445,675520,5921097.957,168896,2.87,16/01/2023,3:35:00
6634157.475,675520,5794936.106,168896,2.82,16/01/2023,3:36:00
6577973.31,675520,5842587.474,168896,2.88,16/01/2023,3:37:00
10431748.85,675520,7152358.475,168896,2.61,16/01/2023,3:39:00
9609991.164,675520,6534977.734,168896,2.75,16/01/2023,3:40:00
9069979.681,675520,6465022.075,168896,2.79,16/01/2023,3:42:00
8707499.411,675520,6403352.724,168896,2.83,16/01/2023,3:43:00
8517660.047,675520,6086421.252,168896,2.85,16/01/2023,3:44:00
8393358.297,675520,6486831.624,168896,2.86,16/01/2023,3:46:00
8287887.998,675520,5977766.829,168896,2.98,16/01/2023,3:47:00
8208652.946,675520,5985574.406,168896,3.1,16/01/2023,3:49:00
8118245.798,675520,5900336.405,168896,3.13,16/01/2023,3:50:00
8030616.247,675520,5840990.303,168896,3.04,16/01/2023,3:52:00
9496747.037,675520,6728862.667,168896,2.52,16/01/2023,11:03:00
8417441.49,675520,6749040.6,168896,2.72,16/01/2023,11:04:00
8107354.433,675520,6366506.689,168896,2.73,16/01/2023,11:05:00
7883869.43,675520,6310450.545,168896,2.78,16/01/2023,11:07:00
7696828.203,675520,5965089.925,168896,2.74,16/01/2023,11:08:00
7563271.572,675520,5952309.522,168896,2.76,16/01/2023,11:10:00
7473642.946,675520,5882226.998,168896,2.78,16/01/2023,11:11:00
7395893.209,675520,5862448.527,168896,2.78,16/01/2023,11:12:00
7319988.947,675520,6012607.424,168896,2.8,16/01/2023,11:14:00
7249322.66,675520,5788403.009,168896,2.8,16/01/2023,11:15:00
8071168.503,675520,6557527.52,168896,2.56,16/01/2023,11:17:00
7363697.032,675520,6638644.611,168896,2.82,16/01/2023,11:18:00
7136640.461,675520,6132635.571,168896,2.79,16/01/2023,11:19:00
6993129.083,675520,6058528.243,168896,2.84,16/01/2023,11:21:00
6876935.27,675520,5982661.088,168896,2.8,16/01/2023,11:22:00
6797825.132,675520,5908497.374,168896,2.8,16/01/2023,11:24:00
6745912.057,675520,5912247.035,168896,2.84,16/01/2023,11:25:00
6697475.507,675520,5806669.598,168896,2.82,16/01/2023,11:26:00
6648076.307,675520,5769237.793,168896,2.86,16/01/2023,11:28:00
6604238.853,675520,5736101.878,168896,2.84,16/01/2023,11:29:00
7473353.076,675520,6532716.506,168896,2.65,16/01/2023,11:31:00
6911408.316,675520,6573517.705,168896,2.85,16/01/2023,11:32:00
6708234.854,675520,6128244.623,168896,2.84,16/01/2023,11:34:00
6590417.041,675520,6059552.809,168896,2.86,16/01/2023,11:35:00
6480131.234,675520,6146798.8,168896,2.86,16/01/2023,11:36:00
6399798.896,675520,6151684.342,168896,2.87,16/01/2023,11:38:00
6335402.557,675520,5791303.211,168896,2.85,16/01/2023,11:39:00
6303974.879,675520,5914363.849,168896,2.86,16/01/2023,11:41:00
6244937.865,675520,5869700.987,168896,2.86,16/01/2023,11:42:00
6235074.755,675520,5692109.653,168896,2.87,16/01/2023,11:44:00
13401709.47,675520,7563440.64,168896,2.73,16/01/2023,11:45:00
10427435.14,675520,7659946.273,168896,2.94,16/01/2023,11:47:00
10065937.74,675520,6848422.501,168896,2.92,16/01/2023,11:48:00
9920933.051,675520,6973145.627,168896,2.94,16/01/2023,11:49:00
9761810.401,675520,6875660.792,168896,2.94,16/01/2023,11:51:00
9648273.99,675520,6560384.121,168896,2.96,16/01/2023,11:52:00
9573637.712,675520,6664571.156,168896,2.93,16/01/2023,11:54:00
9467026.754,675520,6656883.54,168896,2.94,16/01/2023,11:55:00
9209400.945,675520,6467071.703,168896,2.9,16/01/2023,11:57:00
9101705.928,675520,6296469.655,168896,2.92,16/01/2023,11:58:00
13285905.26,675520,8264631.151,168896,2.7,16/01/2023,12:00:00
10832406.6,675520,6909153.306,168896,2.91,16/01/2023,12:01:00
10058578.23,675520,7189851.358,168896,2.94,16/01/2023,12:03:00
9868999.065,675520,6566178.457,168896,2.92,16/01/2023,12:04:00
9732728.403,675520,6613265.22,168896,2.95,16/01/2023,12:06:00
9648179.856,675520,6564518.275,168896,2.99,16/01/2023,12:07:00
9500217.843,675520,6488688.828,168896,2.93,16/01/2023,12:09:00
9431717.45,675520,6454511.229,168896,2.96,16/01/2023,12:10:00
9309130.763,675520,6482622.237,168896,2.96,16/01/2023,12:11:00
9232143.103,675520,6352575.572,168896,2.97,16/01/2023,12:13:00
12917182.76,675520,7299632.125,168896,2.73,16/01/2023,12:14:00
11944811.96,675520,7216170.754,168896,2.96,16/01/2023,12:16:00
