epoch idx from,model architecture,batch_size,optimizer,model_layers,changed hyperParameters
1,"SalesNN(
  (dropout): Dropout(p=0.001, inplace=False)
  (model): Sequential(
    (0): Linear(in_features=26, out_features=64, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.001, inplace=False)
    (3): Linear(in_features=64, out_features=1, bias=True)
    (4): ReLU()
  )
)",64,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: False
    lr: 0.01
    maximize: False
    weight_decay: 0
)","[64, 1]",['model architecture']
11,"SalesNN(
  (dropout): Dropout(p=0.001, inplace=False)
  (model): Sequential(
    (0): Linear(in_features=26, out_features=128, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.001, inplace=False)
    (3): Linear(in_features=128, out_features=1, bias=True)
    (4): ReLU()
  )
)",64,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: False
    lr: 0.01
    maximize: False
    weight_decay: 0
)","[128, 1]","['model architecture', 'model_layers']"
21,"SalesNN(
  (dropout): Dropout(p=0.001, inplace=False)
  (model): Sequential(
    (0): Linear(in_features=26, out_features=256, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.001, inplace=False)
    (3): Linear(in_features=256, out_features=1, bias=True)
    (4): ReLU()
  )
)",64,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: False
    lr: 0.01
    maximize: False
    weight_decay: 0
)","[256, 1]","['model architecture', 'model_layers']"
31,"SalesNN(
  (dropout): Dropout(p=0.001, inplace=False)
  (model): Sequential(
    (0): Linear(in_features=26, out_features=512, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.001, inplace=False)
    (3): Linear(in_features=512, out_features=1, bias=True)
    (4): ReLU()
  )
)",64,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: False
    lr: 0.01
    maximize: False
    weight_decay: 0
)","[512, 1]","['model architecture', 'model_layers']"
41,"SalesNN(
  (dropout): Dropout(p=0.001, inplace=False)
  (model): Sequential(
    (0): Linear(in_features=26, out_features=64, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.001, inplace=False)
    (3): Linear(in_features=64, out_features=16, bias=True)
    (4): ReLU()
    (5): Dropout(p=0.5, inplace=False)
    (6): Linear(in_features=16, out_features=1, bias=True)
    (7): ReLU()
  )
)",64,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: False
    lr: 0.01
    maximize: False
    weight_decay: 0
)","[64, 16, 1]","['model architecture', 'model_layers']"
51,"SalesNN(
  (dropout): Dropout(p=0.001, inplace=False)
  (model): Sequential(
    (0): Linear(in_features=26, out_features=64, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.001, inplace=False)
    (3): Linear(in_features=64, out_features=32, bias=True)
    (4): ReLU()
    (5): Dropout(p=0.5, inplace=False)
    (6): Linear(in_features=32, out_features=1, bias=True)
    (7): ReLU()
  )
)",64,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: False
    lr: 0.01
    maximize: False
    weight_decay: 0
)","[64, 32, 1]","['model architecture', 'model_layers']"
61,"SalesNN(
  (dropout): Dropout(p=0.001, inplace=False)
  (model): Sequential(
    (0): Linear(in_features=26, out_features=128, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.001, inplace=False)
    (3): Linear(in_features=128, out_features=64, bias=True)
    (4): ReLU()
    (5): Dropout(p=0.5, inplace=False)
    (6): Linear(in_features=64, out_features=1, bias=True)
    (7): ReLU()
  )
)",64,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: False
    lr: 0.01
    maximize: False
    weight_decay: 0
)","[128, 64, 1]","['model architecture', 'model_layers']"
71,"SalesNN(
  (dropout): Dropout(p=0.001, inplace=False)
  (model): Sequential(
    (0): Linear(in_features=26, out_features=128, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.001, inplace=False)
    (3): Linear(in_features=128, out_features=32, bias=True)
    (4): ReLU()
    (5): Dropout(p=0.5, inplace=False)
    (6): Linear(in_features=32, out_features=1, bias=True)
    (7): ReLU()
  )
)",64,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: False
    lr: 0.01
    maximize: False
    weight_decay: 0
)","[128, 32, 1]","['model architecture', 'model_layers']"
81,"SalesNN(
  (dropout): Dropout(p=0.001, inplace=False)
  (model): Sequential(
    (0): Linear(in_features=26, out_features=256, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.001, inplace=False)
    (3): Linear(in_features=256, out_features=32, bias=True)
    (4): ReLU()
    (5): Dropout(p=0.5, inplace=False)
    (6): Linear(in_features=32, out_features=1, bias=True)
    (7): ReLU()
  )
)",64,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: False
    lr: 0.01
    maximize: False
    weight_decay: 0
)","[256, 32, 1]","['model architecture', 'model_layers']"
91,"SalesNN(
  (dropout): Dropout(p=0.001, inplace=False)
  (model): Sequential(
    (0): Linear(in_features=26, out_features=256, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.001, inplace=False)
    (3): Linear(in_features=256, out_features=64, bias=True)
    (4): ReLU()
    (5): Dropout(p=0.5, inplace=False)
    (6): Linear(in_features=64, out_features=1, bias=True)
    (7): ReLU()
  )
)",64,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: False
    lr: 0.01
    maximize: False
    weight_decay: 0
)","[256, 64, 1]","['model architecture', 'model_layers']"
101,"SalesNN(
  (dropout): Dropout(p=0.001, inplace=False)
  (model): Sequential(
    (0): Linear(in_features=26, out_features=256, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.001, inplace=False)
    (3): Linear(in_features=256, out_features=128, bias=True)
    (4): ReLU()
    (5): Dropout(p=0.5, inplace=False)
    (6): Linear(in_features=128, out_features=1, bias=True)
    (7): ReLU()
  )
)",64,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: False
    lr: 0.01
    maximize: False
    weight_decay: 0
)","[256, 128, 1]","['model architecture', 'model_layers']"
111,"SalesNN(
  (dropout): Dropout(p=0.001, inplace=False)
  (model): Sequential(
    (0): Linear(in_features=26, out_features=512, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.001, inplace=False)
    (3): Linear(in_features=512, out_features=32, bias=True)
    (4): ReLU()
    (5): Dropout(p=0.5, inplace=False)
    (6): Linear(in_features=32, out_features=1, bias=True)
    (7): ReLU()
  )
)",64,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: False
    lr: 0.01
    maximize: False
    weight_decay: 0
)","[512, 32, 1]","['model architecture', 'model_layers']"
121,"SalesNN(
  (dropout): Dropout(p=0.001, inplace=False)
  (model): Sequential(
    (0): Linear(in_features=26, out_features=512, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.001, inplace=False)
    (3): Linear(in_features=512, out_features=128, bias=True)
    (4): ReLU()
    (5): Dropout(p=0.5, inplace=False)
    (6): Linear(in_features=128, out_features=1, bias=True)
    (7): ReLU()
  )
)",64,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: False
    lr: 0.01
    maximize: False
    weight_decay: 0
)","[512, 128, 1]","['model architecture', 'model_layers']"
121,"SalesNN(
  (dropout): Dropout(p=0.001, inplace=False)
  (model): Sequential(
    (0): Linear(in_features=26, out_features=512, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.001, inplace=False)
    (3): Linear(in_features=512, out_features=64, bias=True)
    (4): ReLU()
    (5): Dropout(p=0.5, inplace=False)
    (6): Linear(in_features=64, out_features=1, bias=True)
    (7): ReLU()
  )
)",64,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: False
    lr: 0.01
    maximize: False
    weight_decay: 0
)","[512, 64, 1]","['model architecture', 'model_layers']"
